регион,кол-во человек на 1 янв 22 года,площадь тер-рии,плотность населения на 1 янв 22 года,распределение дотаций,Сколько нужно выделять дотация для выравнивания бюджета,сколько нужно в деньгах всего,Процент людей за чертой бедности,прожиточный минимум (на 2022 год),средняя зп в месяц (2022)
Свердловская область,4264340,"194,2","21,9584964",0,0,0,"8,6",13501,"100,3"
Тюменская область,3806505,"1464,2","2,599716569",0,0,0,"11,5",12654,"103,8"
Ханты-Мансийский автономный округ-Югра,1702240,"534,8","3,182946896",0,0,0,"8,2",18625,"105,2"
Ямало-Ненецкий автономный округ,552117,"769,3","0,7176875081",0,0,0,"4,7",19832,"102,5"
Тюменская область без автономных округов,1552148,"160,1","9,694865709",0,0,0,"13,4",13919,"101,6"
Челябинская область,3418606,"88,6","38,58471783","840295,8","2566,3","8773168,578","12,1",13076,"102,7"
Республика Алтай,221559,"92,9","2,384919268","10312438,3","43920,24","9730924,454","22,4",13085,"95,4"
Республика Тыва,332609,"168,6","1,97276987","20488443,4","45656,88","15185889,2","29,4",14059,"100,7"
Республика Хакасия,528338,"61,6","8,576915584","3810819,3","5654,05","2987249,469","18,2",14198,"98,1"
Алтайский край,2268179,168,"13,50106548","32473758,1","9556,66","21676215,52","16,8",12388,"100,7"
Красноярский край,2849169,"2366,8","1,203806405","11781579,2","1591,83","4535392,689","16,1",15451,"103,6"
Иркутская область,2357134,"774,8","3,042248322",0,"2962,76","6983622,33","16,5",14754,"101,2"
Кемеровская область,2604272,"95,7","27,21287356","3824607,4","2931,51","7634449,411","12,4",12667,"103,6"
Новосибирская область,2780292,"177,8","15,63718785","6404851,5","1983,41","5514458,956","12,9",14053,"102,3"
Омская область,1879548,"141,1","13,32068037","8921536,3","3237,22","6084510,377","12,8",12436,100
Томская область,1068304,"314,4","3,397913486","5780880,7","3956,84","4227107,999","13,5",14004,"99,5"
Республика Бурятия,982629,"351,3","2,797122118","24048615,7","18192,64","17876615,65","19,9",15172,"101,7"
Республика Саха (Якутия),992115,"3083,5","0,3217496352","56757741,4","38034,55","37734647,57","16,5",21019,"103,1"
Забайкальский край,1043467,"431,9","2,415992128","13073670,2","10780,52","11249116,86",20,16286,"99,2"
Камчатский край,312704,"464,3","0,6734955848","44178144,9","118053,94","36915939,25","14,1",25223,"98,5"
Приморский край,1863011,"164,7","11,3115422","9643640,1","4661,19","8683848,243","12,1",16564,"101,5"
Хабаровский край,1298978,"787,6","1,64928644","7514554,7","5345,41","6943569,991",12,18558,"100,3"
Амурская область,772525,"361,9","2,13463664","3977019,3","4729,64","3653765,141","14,2",16174,"99,5"
Магаданская область,137767,"462,5","0,2978745946",4734658,"35989,56","4958173,713","8,5",24220,"95,8"
Сахалинская область,484177,"87,1","5,558863375",0,0,0,"7,4",18930,"96,8"
Еврейская автономная область,153831,"36,3","4,237768595","2172285,4","11210,78","1724565,498","22,3",18758,"99,6"
Чукотский автономный округ,50040,"721,5","0,06935550936","13508220,6","206495,12","10333015,8","7,6",31736,102
